id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
5369,merged,0,6,0,6,0,5,0,5,2931192.89,1,0,0,8,0,20,20,0,0,2932822.628,1,269,125,0,0,0,0,0,0
5368,merged,0,14,0,14,0,13,0,13,1236424.22,1,0,0,5,0,52,52,0,0,32.043,1,64,70,0,0,0,0,0,0
5367,merged,0,7,0,7,0,1,0,1,-32.221,1,0,0,3,0,4,4,0,0,185.616,1,62,68,0,0,0,0,0,0
5303,merged,0,8,0,8,0,12,0,12,1153529.673,1,0,0,3,0,48,48,0,0,14.706,1,30,52,0,0,0,0,0,0
5302,merged,0,2,0,2,0,1,0,1,-33.543,1,0,0,1,0,4,4,0,0,309.691,1,28,50,0,0,0,0,0,0
5301,merged,0,10,0,10,0,2,0,2,-44.674,1,0,0,3,0,8,8,0,0,20.466,1,187,71,0,0,0,0,0,0
5300,merged,0,4,0,4,0,1,0,1,18061.646,1,0,0,1,0,4,4,0,0,18792.206,1,185,69,0,0,0,0,0,0
5283,merged,0,14,0,14,0,7,0,7,471306.44,1,0,0,5,0,28,25,1,0,29.25,1,50,26,0,0,0,0,0,0
5282,merged,0,3,0,3,0,1,0,1,1935.511,1,0,0,1,0,4,4,0,0,3467.89,1,19,4,0,0,0,0,0,0
5281,merged,0,6,0,6,0,1,0,1,15128.845,1,0,0,1,0,4,4,0,0,15581.349,1,29,20,0,0,0,0,0,0
5280,merged,0,8,0,8,0,20,0,20,47003.292,1,0,0,7,0,81,76,3,0,356.509,1,215,77,0,0,0,0,0,0
5279,merged,0,1,0,1,0,1,0,1,8478.493,1,0,0,1,0,4,4,0,0,9750.81,1,213,75,0,0,0,0,0,0
5182,merged,0,6,0,6,0,10,0,10,833511.145,1,0,0,2,0,40,36,2,0,273.056,1,2,2,0,0,0,0,0,0
5181,merged,0,1,0,1,0,20,0,20,-265.77,1,0,0,29,0,80,67,6,0,161.374,1,1,1,0,0,0,0,0,0
5175,merged,9,45,0,36,0,20,0,20,996507.351,1,0,0,27,0,80,67,6,0,16.041,1,1199,87,0,0,0,0,0,0
5158,merged,0,7,0,7,0,3,0,3,597.323,1,0,0,2,0,12,12,0,0,620.566,1,3,3,0,0,0,0,0,0
5131,merged,9,44,0,35,0,2,0,2,1212118.061,1,0,0,4,0,8,5,1,0,1214229.566,1,1196,82,0,0,0,0,0,0
5127,merged,1,58,0,57,0,20,0,20,1335347.077,1,0,0,23,0,80,74,3,0,1384.878,1,3165,2810,0,0,0,0,0,0
5095,merged,1,23,0,22,0,2,0,2,976011.365,1,0,0,7,0,8,8,0,0,976289.593,1,162,42,0,0,0,0,0,0
5081,merged,0,36,0,36,0,4,0,4,642481.909,1,0,0,4,0,16,16,0,0,687379.525,1,3008,2769,0,0,0,0,0,0
